transaction_id,transaction_date,product_id,product_title,category,quantity,unit_price,total_amount,customer_id,extracted_at
TXN000021,2025-12-16 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,2,39.99,79.98,CUST0039,2026-02-07 10:34:55.203070
TXN000022,2025-11-21 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,1,22.3,22.3,CUST0145,2026-02-07 10:34:55.203565
TXN000023,2025-11-28 10:34:55,6,Solid Gold Petite Micropave ,jewelery,4,168.0,672.0,CUST0055,2026-02-07 10:34:55.204065
TXN000024,2025-12-23 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,2,999.99,1999.98,CUST0021,2026-02-07 10:34:55.204636
TXN000025,2025-11-18 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,4,10.99,43.96,CUST0054,2026-02-07 10:34:55.205111
TXN000026,2025-11-22 10:34:55,11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,electronics,1,109.0,109.0,CUST0170,2026-02-07 10:34:55.205641
TXN000027,2026-01-26 10:34:55,11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,electronics,4,109.0,436.0,CUST0101,2026-02-07 10:34:55.206177
TXN000028,2026-01-08 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,3,39.99,119.97,CUST0090,2026-02-07 10:34:55.206679
TXN000029,2025-12-19 10:34:55,10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,5,109.0,545.0,CUST0178,2026-02-07 10:34:55.207125
TXN000030,2026-01-04 10:34:55,3,Mens Cotton Jacket,men's clothing,3,55.99,167.97,CUST0048,2026-02-07 10:34:55.207563
TXN000031,2025-11-19 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,4,599.0,2396.0,CUST0006,2026-02-07 10:34:55.208028
TXN000032,2025-11-16 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,2,64.0,128.0,CUST0108,2026-02-07 10:34:55.208514
TXN000033,2026-01-05 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,3,599.0,1797.0,CUST0018,2026-02-07 10:34:55.208990
TXN000034,2026-01-13 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,2,114.0,228.0,CUST0091,2026-02-07 10:34:55.209410
TXN000035,2026-01-09 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,1,12.99,12.99,CUST0100,2026-02-07 10:34:55.209880
TXN000036,2025-11-13 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,1,114.0,114.0,CUST0101,2026-02-07 10:34:55.210328
TXN000037,2025-11-09 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,1,22.3,22.3,CUST0009,2026-02-07 10:34:55.210784
TXN000038,2025-11-09 10:34:55,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,3,109.95,329.85,CUST0047,2026-02-07 10:34:55.211204
TXN000039,2026-02-03 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,4,12.99,51.96,CUST0069,2026-02-07 10:34:55.211641
TXN000040,2025-12-13 10:34:55,3,Mens Cotton Jacket,men's clothing,5,55.99,279.95,CUST0062,2026-02-07 10:34:55.213751
TXN000041,2026-02-03 10:34:55,4,Mens Casual Slim Fit,men's clothing,3,15.99,47.97,CUST0035,2026-02-07 10:34:55.214179
TXN000042,2025-12-09 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,1,39.99,39.99,CUST0023,2026-02-07 10:34:55.214774
TXN000043,2025-12-08 10:34:55,6,Solid Gold Petite Micropave ,jewelery,5,168.0,840.0,CUST0069,2026-02-07 10:34:55.215274
TXN000044,2025-11-15 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,4,22.3,89.2,CUST0002,2026-02-07 10:34:55.215811
TXN000045,2025-12-31 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,4,64.0,256.0,CUST0026,2026-02-07 10:34:55.216289
TXN000046,2025-12-10 10:34:55,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,3,695.0,2085.0,CUST0021,2026-02-07 10:34:55.216810
TXN000047,2026-01-05 10:34:55,3,Mens Cotton Jacket,men's clothing,3,55.99,167.97,CUST0090,2026-02-07 10:34:55.217241
TXN000048,2026-01-18 10:34:55,4,Mens Casual Slim Fit,men's clothing,3,15.99,47.97,CUST0110,2026-02-07 10:34:55.218428
TXN000049,2025-12-02 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,1,599.0,599.0,CUST0097,2026-02-07 10:34:55.220359
TXN000050,2026-02-07 10:34:55,19,Opna Women's Short Sleeve Moisture,women's clothing,2,7.95,15.9,CUST0100,2026-02-07 10:34:55.221431
TXN000051,2026-01-07 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,1,39.99,39.99,CUST0029,2026-02-07 10:34:55.221771
TXN000052,2026-02-02 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,3,12.99,38.97,CUST0179,2026-02-07 10:34:55.222105
TXN000053,2026-01-01 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,5,10.99,54.95,CUST0073,2026-02-07 10:34:55.222387
TXN000054,2025-12-14 10:34:55,6,Solid Gold Petite Micropave ,jewelery,5,168.0,840.0,CUST0017,2026-02-07 10:34:55.222642
TXN000055,2025-12-22 10:34:55,11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,electronics,3,109.0,327.0,CUST0070,2026-02-07 10:34:55.222902
TXN000056,2026-02-03 10:34:55,7,White Gold Plated Princess,jewelery,4,9.99,39.96,CUST0196,2026-02-07 10:34:55.223191
TXN000057,2026-01-28 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,2,9.85,19.7,CUST0018,2026-02-07 10:34:55.223451
TXN000058,2025-11-28 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,4,599.0,2396.0,CUST0161,2026-02-07 10:34:55.223707
TXN000059,2026-02-03 10:34:55,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,3,695.0,2085.0,CUST0177,2026-02-07 10:34:55.223975
TXN000060,2026-01-06 10:34:55,11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,electronics,2,109.0,218.0,CUST0056,2026-02-07 10:34:55.224303
TXN000061,2026-02-06 10:34:55,15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,women's clothing,5,56.99,284.95,CUST0010,2026-02-07 10:34:55.224737
TXN000062,2025-11-20 10:34:55,3,Mens Cotton Jacket,men's clothing,2,55.99,111.98,CUST0075,2026-02-07 10:34:55.225016
TXN000063,2026-01-02 10:34:55,3,Mens Cotton Jacket,men's clothing,5,55.99,279.95,CUST0032,2026-02-07 10:34:55.225937
TXN000064,2025-11-27 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,1,22.3,22.3,CUST0104,2026-02-07 10:34:55.226639
TXN000065,2025-12-04 10:34:55,11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,electronics,2,109.0,218.0,CUST0084,2026-02-07 10:34:55.226946
TXN000066,2025-11-21 10:34:55,4,Mens Casual Slim Fit,men's clothing,2,15.99,31.98,CUST0107,2026-02-07 10:34:55.227273
TXN000067,2026-01-26 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,3,10.99,32.97,CUST0003,2026-02-07 10:34:55.227546
TXN000068,2025-12-09 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,2,39.99,79.98,CUST0148,2026-02-07 10:34:55.227919
TXN000069,2026-01-11 10:34:55,10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,5,109.0,545.0,CUST0196,2026-02-07 10:34:55.228214
TXN000070,2025-12-23 10:34:55,4,Mens Casual Slim Fit,men's clothing,5,15.99,79.95,CUST0136,2026-02-07 10:34:55.234696
TXN000071,2026-01-03 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,5,22.3,111.5,CUST0155,2026-02-07 10:34:55.235286
TXN000072,2026-01-31 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,2,39.99,79.98,CUST0010,2026-02-07 10:34:55.235615
TXN000073,2026-02-06 10:34:55,6,Solid Gold Petite Micropave ,jewelery,4,168.0,672.0,CUST0144,2026-02-07 10:34:55.235889
TXN000074,2026-01-08 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,3,64.0,192.0,CUST0086,2026-02-07 10:34:55.236177
TXN000075,2025-12-22 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,1,114.0,114.0,CUST0033,2026-02-07 10:34:55.236449
TXN000076,2026-01-18 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,5,10.99,54.95,CUST0109,2026-02-07 10:34:55.236729
TXN000077,2025-11-11 10:34:55,6,Solid Gold Petite Micropave ,jewelery,3,168.0,504.0,CUST0029,2026-02-07 10:34:55.236986
TXN000078,2026-01-04 10:34:55,16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,2,29.95,59.9,CUST0018,2026-02-07 10:34:55.237260
TXN000079,2026-01-15 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,3,114.0,342.0,CUST0181,2026-02-07 10:34:55.237753
TXN000080,2025-12-17 10:34:55,4,Mens Casual Slim Fit,men's clothing,5,15.99,79.95,CUST0037,2026-02-07 10:34:55.238019
TXN000081,2025-12-02 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,4,39.99,159.96,CUST0193,2026-02-07 10:34:55.238292
TXN000082,2025-12-08 10:34:55,19,Opna Women's Short Sleeve Moisture,women's clothing,3,7.95,23.85,CUST0109,2026-02-07 10:34:55.238728
TXN000083,2026-01-16 10:34:55,3,Mens Cotton Jacket,men's clothing,1,55.99,55.99,CUST0127,2026-02-07 10:34:55.240226
TXN000084,2026-01-11 10:34:55,6,Solid Gold Petite Micropave ,jewelery,3,168.0,504.0,CUST0137,2026-02-07 10:34:55.240691
TXN000085,2025-12-29 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,5,10.99,54.95,CUST0106,2026-02-07 10:34:55.240996
TXN000086,2025-12-15 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,2,114.0,228.0,CUST0163,2026-02-07 10:34:55.241324
TXN000087,2025-11-28 10:34:55,16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,2,29.95,59.9,CUST0181,2026-02-07 10:34:55.241596
TXN000088,2026-01-20 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,2,9.85,19.7,CUST0189,2026-02-07 10:34:55.241845
TXN000089,2025-12-04 10:34:55,7,White Gold Plated Princess,jewelery,5,9.99,49.95,CUST0114,2026-02-07 10:34:55.242089
TXN000090,2025-12-08 10:34:55,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,4,695.0,2780.0,CUST0076,2026-02-07 10:34:55.242387
TXN000091,2026-01-15 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,3,39.99,119.97,CUST0162,2026-02-07 10:34:55.242659
TXN000092,2025-11-17 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,5,64.0,320.0,CUST0083,2026-02-07 10:34:55.242909
TXN000093,2026-01-17 10:34:55,4,Mens Casual Slim Fit,men's clothing,4,15.99,63.96,CUST0193,2026-02-07 10:34:55.243138
TXN000094,2026-01-15 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,1,12.99,12.99,CUST0091,2026-02-07 10:34:55.243982
TXN000095,2025-11-10 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,3,599.0,1797.0,CUST0031,2026-02-07 10:34:55.244423
TXN000096,2026-01-04 10:34:55,16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,3,29.95,89.85,CUST0169,2026-02-07 10:34:55.244848
TXN000097,2026-01-22 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,5,114.0,570.0,CUST0018,2026-02-07 10:34:55.245253
TXN000098,2025-12-29 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,5,999.99,4999.95,CUST0046,2026-02-07 10:34:55.246007
TXN000099,2025-12-02 10:34:55,10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,4,109.0,436.0,CUST0187,2026-02-07 10:34:55.246643
TXN000100,2025-12-31 10:34:55,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,5,109.95,549.75,CUST0013,2026-02-07 10:34:55.247771
TXN000101,2025-11-18 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,1,999.99,999.99,CUST0124,2026-02-07 10:34:55.248688
TXN000102,2026-01-19 10:34:55,16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,1,29.95,29.95,CUST0024,2026-02-07 10:34:55.249266
TXN000103,2025-11-20 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,4,64.0,256.0,CUST0049,2026-02-07 10:34:55.249820
TXN000104,2026-01-09 10:34:55,3,Mens Cotton Jacket,men's clothing,5,55.99,279.95,CUST0046,2026-02-07 10:34:55.250325
TXN000105,2026-01-12 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,5,114.0,570.0,CUST0197,2026-02-07 10:34:55.250852
TXN000106,2025-12-05 10:34:55,10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,3,109.0,327.0,CUST0070,2026-02-07 10:34:55.251385
TXN000107,2025-11-14 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,5,10.99,54.95,CUST0034,2026-02-07 10:34:55.252096
TXN000108,2025-12-14 10:34:55,7,White Gold Plated Princess,jewelery,5,9.99,49.95,CUST0093,2026-02-07 10:34:55.252976
TXN000109,2026-01-17 10:34:55,15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,women's clothing,3,56.99,170.97,CUST0004,2026-02-07 10:34:55.253686
TXN000110,2025-12-02 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,5,999.99,4999.95,CUST0198,2026-02-07 10:34:55.254177
TXN000111,2025-12-09 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,3,999.99,2999.97,CUST0031,2026-02-07 10:34:55.254759
TXN000112,2026-02-07 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,2,12.99,25.98,CUST0102,2026-02-07 10:34:55.255233
TXN000113,2026-02-05 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,5,999.99,4999.95,CUST0183,2026-02-07 10:34:55.255755
TXN000114,2025-12-20 10:34:55,4,Mens Casual Slim Fit,men's clothing,1,15.99,15.99,CUST0023,2026-02-07 10:34:55.256482
TXN000115,2026-01-19 10:34:55,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,2,695.0,1390.0,CUST0136,2026-02-07 10:34:55.258017
TXN000116,2025-11-27 10:34:55,7,White Gold Plated Princess,jewelery,2,9.99,19.98,CUST0194,2026-02-07 10:34:55.258828
TXN000117,2026-01-06 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,5,10.99,54.95,CUST0027,2026-02-07 10:34:55.259969
TXN000118,2025-12-15 10:34:55,15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,women's clothing,2,56.99,113.98,CUST0053,2026-02-07 10:34:55.261269
TXN000119,2025-11-20 10:34:55,19,Opna Women's Short Sleeve Moisture,women's clothing,1,7.95,7.95,CUST0180,2026-02-07 10:34:55.263077
TXN000120,2025-11-22 10:34:55,4,Mens Casual Slim Fit,men's clothing,1,15.99,15.99,CUST0066,2026-02-07 10:34:55.263793
TXN000121,2025-11-27 10:34:55,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,3,695.0,2085.0,CUST0176,2026-02-07 10:34:55.264362
TXN000122,2025-11-22 10:34:55,6,Solid Gold Petite Micropave ,jewelery,2,168.0,336.0,CUST0146,2026-02-07 10:34:55.264994
TXN000123,2026-01-26 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,3,9.85,29.55,CUST0113,2026-02-07 10:34:55.265804
TXN000124,2025-12-09 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,5,9.85,49.25,CUST0165,2026-02-07 10:34:55.266332
TXN000125,2026-01-11 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,4,10.99,43.96,CUST0090,2026-02-07 10:34:55.266905
TXN000126,2025-12-08 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,1,599.0,599.0,CUST0048,2026-02-07 10:34:55.267473
TXN000127,2026-01-19 10:34:55,3,Mens Cotton Jacket,men's clothing,5,55.99,279.95,CUST0142,2026-02-07 10:34:55.269870
TXN000128,2026-01-09 10:34:55,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,2,695.0,1390.0,CUST0033,2026-02-07 10:34:55.270921
TXN000129,2025-11-21 10:34:55,15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,women's clothing,3,56.99,170.97,CUST0179,2026-02-07 10:34:55.271946
TXN000130,2025-11-13 10:34:55,17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,3,39.99,119.97,CUST0175,2026-02-07 10:34:55.272499
TXN000131,2026-01-08 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,4,64.0,256.0,CUST0116,2026-02-07 10:34:55.273065
TXN000132,2025-12-07 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,5,12.99,64.95,CUST0149,2026-02-07 10:34:55.273597
TXN000133,2026-01-26 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,2,9.85,19.7,CUST0197,2026-02-07 10:34:55.274533
TXN000134,2025-12-17 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,2,999.99,1999.98,CUST0089,2026-02-07 10:34:55.275902
TXN000135,2026-01-29 10:34:55,3,Mens Cotton Jacket,men's clothing,2,55.99,111.98,CUST0080,2026-02-07 10:34:55.276614
TXN000136,2025-12-20 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,5,9.85,49.25,CUST0055,2026-02-07 10:34:55.277229
TXN000137,2026-01-04 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,1,10.99,10.99,CUST0160,2026-02-07 10:34:55.277790
TXN000138,2026-01-22 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,4,999.99,3999.96,CUST0181,2026-02-07 10:34:55.278311
TXN000139,2026-02-06 10:34:55,13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,3,599.0,1797.0,CUST0097,2026-02-07 10:34:55.278912
TXN000140,2025-12-09 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,4,114.0,456.0,CUST0120,2026-02-07 10:34:55.279416
TXN000141,2026-01-11 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,1,22.3,22.3,CUST0019,2026-02-07 10:34:55.279861
TXN000142,2025-12-12 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,4,64.0,256.0,CUST0049,2026-02-07 10:34:55.280386
TXN000143,2025-11-16 10:34:55,3,Mens Cotton Jacket,men's clothing,4,55.99,223.96,CUST0057,2026-02-07 10:34:55.281363
TXN000144,2025-12-18 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,2,12.99,25.98,CUST0096,2026-02-07 10:34:55.281921
TXN000145,2025-11-22 10:34:55,11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,electronics,4,109.0,436.0,CUST0092,2026-02-07 10:34:55.282412
TXN000146,2025-12-23 10:34:55,4,Mens Casual Slim Fit,men's clothing,5,15.99,79.95,CUST0111,2026-02-07 10:34:55.282862
TXN000147,2025-11-26 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,2,114.0,228.0,CUST0188,2026-02-07 10:34:55.283331
TXN000148,2026-02-07 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,5,64.0,320.0,CUST0064,2026-02-07 10:34:55.283848
TXN000149,2026-01-27 10:34:55,2,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,1,22.3,22.3,CUST0148,2026-02-07 10:34:55.284350
TXN000150,2026-01-13 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,4,9.85,39.4,CUST0091,2026-02-07 10:34:55.284850
TXN000151,2025-11-10 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,4,10.99,43.96,CUST0135,2026-02-07 10:34:55.285519
TXN000152,2026-01-15 10:34:55,8,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,4,10.99,43.96,CUST0172,2026-02-07 10:34:55.286062
TXN000153,2026-02-05 10:34:55,20,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,5,12.99,64.95,CUST0046,2026-02-07 10:34:55.286672
TXN000154,2026-02-05 10:34:55,14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,2,999.99,1999.98,CUST0055,2026-02-07 10:34:55.287091
TXN000155,2026-01-11 10:34:55,7,White Gold Plated Princess,jewelery,3,9.99,29.97,CUST0142,2026-02-07 10:34:55.287389
TXN000156,2025-12-09 10:34:55,18,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,3,9.85,29.55,CUST0199,2026-02-07 10:34:55.287692
TXN000157,2026-01-11 10:34:55,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,4,114.0,456.0,CUST0169,2026-02-07 10:34:55.287973
TXN000158,2025-12-18 10:34:55,7,White Gold Plated Princess,jewelery,5,9.99,49.95,CUST0068,2026-02-07 10:34:55.288267
TXN000159,2026-01-16 10:34:55,4,Mens Casual Slim Fit,men's clothing,2,15.99,31.98,CUST0052,2026-02-07 10:34:55.288615
TXN000160,2026-01-24 10:34:55,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,2,64.0,128.0,CUST0138,2026-02-07 10:34:55.288896
TXN000161,2026-01-18 10:34:55,3,Mens Cotton Jacket,men's clothing,4,55.99,223.96,CUST0069,2026-02-07 10:34:55.289255
